scenario,threshold,method,pairs,reuse_ratio_mean,reuse_ratio_std,false_reuse_rate_mean,false_reuse_rate_std,oracle_available_ratio_mean,oracle_available_ratio_std,original_valid_same_grid_ratio_mean,original_valid_same_grid_ratio_std,action_rel_l2_mean,action_rel_l2_std,reused_key_cosine_mean,reused_key_cosine_std,estimated_saving_mean,estimated_saving_std
pan_tilt,0.94,mc_kv_no_rope,4,0.140625,0.0,0.0,0.0,0.140625,0.0,0.08203125,0.023109686652732876,0.0038272597942171816,0.00066032926506046,0.6818194366661756,0.12505964876934242,0.1171875,0.0
pan_tilt,0.94,mc_kv_rope,4,0.140625,0.0,0.0,0.0,0.140625,0.0,0.08203125,0.023109686652732876,0.0038201155984621347,0.0005793701696627039,0.9991234588454296,6.77621709057145e-05,0.1171875,0.0
pan_tilt,0.94,mc_token,4,0.140625,0.0,0.0,0.0,0.140625,0.0,0.08203125,0.023109686652732876,0.0038201155984621347,0.0005793701696627039,0.9991234588565687,6.776216030458183e-05,0.0140625,0.0
pan_tilt,0.94,original_grid,4,0.5625,0.05740991584648074,0.8878494015472194,0.020744197388071796,0.140625,0.0,0.08203125,0.023109686652732876,0.008427396703505908,0.002410274641140205,0.9991819968623346,0.00020461952113192696,0.46875,0.04784159653873397
pan_tilt,0.97,mc_kv_no_rope,4,0.140625,0.0,0.0,0.0,0.140625,0.0,0.08203125,0.023109686652732876,0.0038272597942171816,0.00066032926506046,0.6818194366661756,0.12505964876934242,0.1171875,0.0
pan_tilt,0.97,mc_kv_rope,4,0.140625,0.0,0.0,0.0,0.140625,0.0,0.08203125,0.023109686652732876,0.0038201155984621347,0.0005793701696627039,0.9991234588454296,6.77621709057145e-05,0.1171875,0.0
pan_tilt,0.97,mc_token,4,0.140625,0.0,0.0,0.0,0.140625,0.0,0.08203125,0.023109686652732876,0.0038201155984621347,0.0005793701696627039,0.9991234588565687,6.776216030458183e-05,0.0140625,0.0
pan_tilt,0.97,original_grid,4,0.01171875,0.01295556558732578,0.125,0.21650635094610965,0.140625,0.0,0.08203125,0.023109686652732876,0.0002252442009794513,0.00022525062521056857,0.9997317875790013,4.9009931491039715e-05,0.009765625,0.010796304656104818
translate_xy,0.94,mc_kv_no_rope,4,0.15234375,0.02029747040119778,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.005372780176681407,0.002960786817538364,0.49750763636827766,0.05840322762504999,0.126953125,0.016914558667664812
translate_xy,0.94,mc_kv_rope,4,0.15234375,0.02029747040119778,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.005301561343025569,0.003170502439775831,0.99483635162164,0.002344155308022859,0.126953125,0.016914558667664812
translate_xy,0.94,mc_token,4,0.15234375,0.02029747040119778,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.005301560944279645,0.0031704975625877134,0.9948363516765218,0.00234415513412588,0.015234375,0.0020297470401197783
translate_xy,0.94,original_grid,4,0.66015625,0.05108084699461727,1.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.006147194077348363,0.0032300775195160314,0.9996554466594586,4.403047395619105e-05,0.5501302083333333,0.04256737249551437
translate_xy,0.97,mc_kv_no_rope,4,0.15234375,0.02029747040119778,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.005372780176681407,0.002960786817538364,0.49750763636827766,0.05840322762504999,0.126953125,0.016914558667664812
translate_xy,0.97,mc_kv_rope,4,0.15234375,0.02029747040119778,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.005301561343025569,0.003170502439775831,0.99483635162164,0.002344155308022859,0.126953125,0.016914558667664812
translate_xy,0.97,mc_token,4,0.15234375,0.02029747040119778,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.005301560944279645,0.0031704975625877134,0.9948363516765218,0.00234415513412588,0.015234375,0.0020297470401197783
translate_xy,0.97,original_grid,4,0.0,0.0,0.0,0.0,0.15234375,0.02029747040119778,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
